index,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol
279,000733.XSHE,733,振华科技,XSHE,2017/12/1,14.61,14.55,15.09,14.51,14.97,7210051
280,000735.XSHE,735,罗牛山,XSHE,2017/12/1,7.56,7.53,7.78,7.5,7.7,23370041
281,000736.XSHE,736,中交地产,XSHE,2017/12/1,14.68,14.66,14.99,14.63,14.68,840400
282,000737.XSHE,737,南风化工,XSHE,2017/12/1,5.17,5.19,5.21,5.1,5.19,2604830
283,000738.XSHE,738,航发控制,XSHE,2017/12/1,16.51,16.53,16.66,16.3,16.61,2546318
284,000739.XSHE,739,普洛药业,XSHE,2017/12/1,6.53,6.55,6.56,6.41,6.43,5134669
285,000750.XSHE,750,国海证券,XSHE,2017/12/1,5.23,5.22,5.25,5.22,5.23,7595166
286,000751.XSHE,751,锌业股份,XSHE,2017/12/1,5.08,5.13,5.15,5.06,5.11,13095168
287,000752.XSHE,752,西藏发展,XSHE,2017/12/1,13.15,13.28,13.29,13.1,13.17,575800
288,000753.XSHE,753,漳州发展,XSHE,2017/12/1,3.9,3.9,3.94,3.9,3.93,2535022
289,000755.XSHE,755,*ST三维,XSHE,2017/12/1,6.53,0,0,0,6.53,0
290,000756.XSHE,756,新华制药,XSHE,2017/12/1,14.8,14.8,14.95,14.53,14.59,3391200
291,000757.XSHE,757,浩物股份,XSHE,2017/12/1,7.03,0,0,0,7.03,0
292,000758.XSHE,758,中色股份,XSHE,2017/12/1,6.61,6.58,6.62,6.51,6.57,8454422
293,000759.XSHE,759,中百集团,XSHE,2017/12/1,8.2,8.21,8.25,8.15,8.25,2300457
294,000760.XSHE,760,斯太尔,XSHE,2017/12/1,6.91,7.22,7.25,6.93,7.14,6581203
295,000761.XSHE,761,本钢板材,XSHE,2017/12/1,5.76,5.76,5.83,5.63,5.73,25669505
296,000762.XSHE,762,西藏矿业,XSHE,2017/12/1,15.73,15.65,16.05,15.61,15.88,10267183
297,000766.XSHE,766,通化金马,XSHE,2017/12/1,13.6,0,0,0,13.6,0
298,000767.XSHE,767,漳泽电力,XSHE,2017/12/1,3,3,3.01,2.99,3.01,3499500
299,000768.XSHE,768,中航飞机,XSHE,2017/12/1,17.34,17.34,17.44,17.19,17.39,6058260
300,000776.XSHE,776,广发证券,XSHE,2017/12/1,17.78,17.76,17.94,17.56,17.6,29941821
301,000777.XSHE,777,中核科技,XSHE,2017/12/1,15.64,15.64,15.79,15.61,15.68,1584928
302,000778.XSHE,778,新兴铸管,XSHE,2017/12/1,5.55,5.57,5.6,5.53,5.59,15746115
303,000779.XSHE,779,三毛派神,XSHE,2017/12/1,15.17,15.26,15.35,14.96,15.33,1155638
304,000780.XSHE,780,*ST平能,XSHE,2017/12/1,4.93,4.92,4.96,4.88,4.95,2162601
305,000782.XSHE,782,美达股份,XSHE,2017/12/1,8.77,8.76,8.85,8.7,8.84,1249200
306,000783.XSHE,783,长江证券,XSHE,2017/12/1,8.92,8.9,8.93,8.86,8.88,7695986
307,000785.XSHE,785,武汉中商,XSHE,2017/12/1,10,10.01,10.1,9.85,10.03,827171
308,000786.XSHE,786,北新建材,XSHE,2017/12/1,23.26,23.14,23.59,22.21,22.65,32174247
309,000788.XSHE,788,北大医药,XSHE,2017/12/1,9.51,9.45,9.55,9.4,9.5,2444625
310,000789.XSHE,789,万年青,XSHE,2017/12/1,12.29,12.25,12.26,11.68,12.09,60584430
311,000790.XSHE,790,泰合健康,XSHE,2017/12/1,9.08,0,0,0,9.08,0
312,000791.XSHE,791,甘肃电投,XSHE,2017/12/1,7.86,7.8,8.03,7.8,7.92,6550575
313,000792.XSHE,792,盐湖股份,XSHE,2017/12/1,13.72,13.61,13.83,13.4,13.71,40647402
314,000793.XSHE,793,华闻传媒,XSHE,2017/12/1,10.43,10.4,10.47,10.3,10.31,21728653
315,000795.XSHE,795,英洛华,XSHE,2017/12/1,6.16,6.15,6.2,6.13,6.18,6208532
